t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
0,0.8776581061229562,3445.6687624546817,-14.62785132492311,0.00538385744133544,0.2190847842985867,0.3938169568597173,0.06,0.012,16.0,40
1,0.9438069685872006,2993.2797309530797,-12.525951820701657,0.004676999579614187,0.1806871017268656,0.38613742034537313,0.06,0.012,16.0,40
2,0.9716036859332271,2602.2694881277575,-10.738609010641682,0.004066046075199621,0.17730751972932524,0.38546150394586504,0.06,0.012,16.0,40
3,0.9848477258870142,2327.0572213110263,-9.486909770012602,0.0036360269082984786,0.17488441385951423,0.38497688277190284,0.06,0.012,16.0,40
4,0.9908075479653226,2082.366183041065,-8.37984027571947,0.003253697161001664,0.17319567910077005,0.38463913582015397,0.06,0.012,16.0,40
5,0.9940902539878417,1943.441963042037,-7.751398579701324,0.003036628067253183,0.17336181626569505,0.38467236325313897,0.06,0.012,16.0,40
6,0.9957754341233827,1925.2920291806256,-7.6680386971894325,0.0030082687955947274,0.17452224140519415,0.3849044482810388,0.06,0.012,16.0,40
7,0.9966839806546463,1832.5164136198798,-7.2496398806348115,0.0028633068962810623,0.17525865861675108,0.38505173172335017,0.06,0.012,16.0,40
8,0.9969385038496633,1831.5011015031278,-7.244816452914411,0.002861720471098637,0.17449371206112183,0.3848987424122243,0.06,0.012,16.0,40
9,0.9971851531930601,1831.1982854458215,-7.243207131313136,0.002861247321009096,0.17494800896144302,0.3849896017922886,0.06,0.012,16.0,40
10,0.997180274493207,1829.573959061558,-7.235902541283803,0.0028587093110336846,0.17582453259401476,0.3851649065188029,0.06,0.012,16.0,40
11,0.9972376992152432,1888.3758381301777,-7.500453572370556,0.0029505872470784026,0.17627652491664048,0.38525530498332805,0.06,0.012,16.0,40
12,0.9972757589051575,1841.462156006323,-7.289303943123295,0.0028772846187598796,0.19894301567288208,0.3897886031345764,0.06,0.012,16.0,40
13,0.9972698408231168,1851.1311600723923,-7.332820379502648,0.002892392437613113,0.17315142438352307,0.3846302848767046,0.06,0.012,16.0,40
14,0.9973299584448932,1866.9752585914478,-7.404058705216621,0.0029171488415491373,0.17461144966587724,0.38492228993317545,0.06,0.012,16.0,40
15,0.9974240231975277,1936.4102611615347,-7.716422152029377,0.003025641033064898,0.1766232588509272,0.38532465177018543,0.06,0.012,16.0,40
