t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
0,0.8674613859754312,3487.611978328671,-14.826792516503586,0.005449393716138548,0.2021674538349305,0.3904334907669861,0.06,0.005,16.0,40
1,0.937880891723879,3024.085458227227,-12.670503670298642,0.004725133528480042,0.17973961145598183,0.38594792229119634,0.06,0.005,16.0,40
2,0.9683373328141085,2700.227491882171,-11.182686380655658,0.0042191054560658916,0.17557316012854735,0.38511463202570945,0.06,0.005,16.0,40
3,0.9819949249049907,2312.3655676956964,-9.423650129725642,0.0036130711995245256,0.17322873939383396,0.38464574787876676,0.06,0.005,16.0,40
4,0.988980921782917,2103.791277682281,-8.478079827787347,0.003287173871378564,0.1719460477280235,0.3843892095456047,0.06,0.005,16.0,40
5,0.9930536168535626,2037.4793208238218,-8.175603326853636,0.0031835614387872215,0.17204975565948616,0.3844099511318972,0.06,0.005,16.0,40
6,0.9947576251026937,1987.456143417431,-7.948795020275745,0.003105400224089736,0.1715561707042561,0.3843112341408512,0.06,0.005,16.0,40
7,0.995583775738496,1937.7176115621767,-7.724145476291298,0.003027683768065901,0.17267475744945485,0.3845349514898909,0.06,0.005,16.0,40
8,0.9961855659829824,1912.2302574103817,-7.608850592363735,0.0029878597772037213,0.17285698351479437,0.38457139670295887,0.06,0.005,16.0,40
9,0.9962724042487218,1899.7825120768466,-7.552748900097087,0.002968410175120073,0.17227149485660156,0.3844542989713203,0.06,0.005,16.0,40
10,0.996371724682409,1963.4593365323542,-7.839195289713184,0.0030679052133318033,0.17311598589363988,0.38462319717872795,0.06,0.005,16.0,40
11,0.9966409748069054,1974.9684657650384,-7.890717121135766,0.0030858882277578726,0.17216896696063216,0.3844337933921264,0.06,0.005,16.0,40
12,0.9967583595854755,1935.585522450988,-7.71337649144397,0.0030243523788296687,0.171514114168155,0.384302822833631,0.06,0.005,16.0,40
13,0.9964890248012708,1973.6072367353477,-7.8847435405077935,0.003083761307398981,0.17227465538849976,0.3844549310776999,0.06,0.005,16.0,40
14,0.9965019241065521,1980.9357922185445,-7.917709140876897,0.0030952121753414757,0.17326995604060236,0.38465399120812044,0.06,0.005,16.0,40
15,0.9963757120971724,2060.593082071916,-8.276293157226448,0.0032196766907373687,0.1739470613553327,0.3847894122710665,0.06,0.005,16.0,40
16,0.9966379323479342,1981.8179662398768,-7.921542915731511,0.0030965905722498076,0.1747828907955372,0.38495657815910744,0.06,0.005,16.0,40
17,0.9964483200001031,1981.6265544068094,-7.9208711748305385,0.0030962914912606395,0.17410018168469654,0.3848200363369393,0.06,0.005,16.0,40
18,0.996435473786938,2054.7968339432337,-8.250150278957612,0.0032106200530363027,0.1746885070283448,0.38493770140566896,0.06,0.005,16.0,40
19,0.996446904784624,2073.2722811947206,-8.333278360591617,0.0032394879393667507,0.17437491603717084,0.38487498320743413,0.06,0.005,16.0,40
20,0.9966590506635344,2033.3092553633257,-8.15323259847143,0.0031770457115051966,0.1752016948820965,0.38504033897641926,0.06,0.005,16.0,40
21,0.9966589279857762,2063.3963826382933,-8.288624793886544,0.0032240568478723334,0.17569886806950522,0.385139773613901,0.06,0.005,16.0,40
22,0.9966793237247481,2074.6420087547567,-8.339209715671656,0.0032416281386793075,0.1761157454664582,0.38522314909329164,0.06,0.005,16.0,40
23,0.9970127229072919,2064.04780806655,-8.291202413392183,0.003225074700103984,0.17626502128642385,0.38525300425728476,0.06,0.005,16.0,40
24,0.9969832762734584,2132.076250505997,-8.597359851003528,0.0033313691414156204,0.17725517519804349,0.38545103503960865,0.06,0.005,16.0,40
25,0.9968822784674451,1673.4527272318314,-6.533654994075796,0.0026147698862997366,0.17503336236091363,0.3850066724721827,0.03875318744300973,0.003511063803748301,13.873883158875275,40
26,0.9969597945446076,1675.105752528469,-6.541016091833503,0.002617352738325733,0.17553890183572324,0.3851077803671446,0.03875318744300973,0.003511063803748301,13.873883158875275,40
27,0.9969179779725246,1684.7040513277284,-6.584250253002253,0.0026323500801995756,0.1760605429716069,0.38521210859432137,0.03875318744300973,0.003511063803748301,13.873883158875275,40
28,0.9969551479189916,1666.839493877245,-6.503822574528611,0.0026044367091831956,0.17579098380161312,0.3851581967603226,0.03875318744300973,0.003511063803748301,13.873883158875275,40
29,0.9968867216891824,1706.8299782169647,-6.683848180287159,0.0026669218409640072,0.17640523072029318,0.3852810461440586,0.03875318744300973,0.003511063803748301,13.873883158875275,40
30,0.9968082399836786,1715.3947756179398,-6.72246825029705,0.0026803043369030308,0.17658417036310298,0.3853168340726206,0.03875318744300973,0.003511063803748301,13.873883158875275,40
31,0.9969181881113899,1698.6459205373826,-6.646988454306832,0.0026541342508396605,0.1769658179442932,0.3853931635888586,0.03875318744300973,0.003511063803748301,13.873883158875275,40
32,0.9969475799538142,1702.8950282396083,-6.666080047124423,0.002660773481624388,0.17750785400033287,0.38550157080006653,0.03875318744300973,0.003511063803748301,13.873883158875275,40
33,0.996972649125069,1749.2245674575943,-6.874537904434105,0.002733163386652491,0.17745715312635796,0.3854914306252716,0.03875318744300973,0.003511063803748301,13.873883158875275,40
34,0.996990429878575,1722.5102313990851,-6.7543056114173075,0.0026914222365610704,0.17762564649730314,0.3855251292994606,0.03875318744300973,0.003511063803748301,13.873883158875275,40
35,0.9971360146618111,1738.5884571730235,-6.826512042616795,0.002716544464332849,0.1777301596385895,0.38554603192771786,0.03875318744300973,0.003511063803748301,13.873883158875275,40
36,0.9968934656668473,1711.3543135098867,-6.704200945127642,0.002673991114859198,0.1776453992265778,0.38552907984531554,0.03875318744300973,0.003511063803748301,13.873883158875275,40
37,0.9969143029436079,1741.7181521300547,-6.840817381641637,0.0027214346127032107,0.1784823920894609,0.3856964784178922,0.03875318744300973,0.003511063803748301,13.873883158875275,40
